Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Conjunto Comercial/Sala com salão de festas em Casa Amarela,220000,Comercial,Rua Guimarães Peixoto,Casa Amarela,52051200,-8.0292655,-34.9073106,Imobiliária,0,0,31,31,1,2000,,2017-04-09 23:25:43.494718,,,,,,,
Apartamento com piscina e churrasqueira em Rosarinho,480000,Residencial,Rua Doutor José Maria,Rosarinho,52041065,-8.0353706,-34.8985088,Imobiliária,3,1,75,,1,2000,,2017-04-09 23:25:43.637701,,,,,,,
Conjunto Comercial/Sala com esquina e estacionamento visitantes em Ilha do Leite,880000,Comercial,Avenida Governador Agamenon Magalhães,Ilha do Leite,50070160,-8.0650902,-34.8969402,Imobiliária,0,0,103,194,3,2000,,2017-04-09 23:25:43.809823,,,,,,,
Apartamento com piscina e sauna em Poco da Panela,680000,Residencial,Rua Bianor de Medeiros,Poco da Panela,52061120,-8.0300468,-34.9227634,Imobiliária,3,1,121,,2,2000,2300,2017-04-09 23:25:43.815939,,,,,,,
Apartamento  em Boa Vista,350000,Residencial,Rua Edifício Portal da Boa Vista,Boa Vista,50050903,,,Imobiliária,3,0,69,,0,2000,,2017-04-09 23:25:44.041005,,,,,,,
Apartamento com copa em Gracas,650000,Residencial,Rua João Ramos,Gracas,52011080,-8.0463124,-34.8983517,Imobiliária,3,1,211,211,2,2000,,2017-04-09 23:25:44.102058,,,,,,,
Apartamento com piscina e playground em Imbiribeira,320000,Residencial,Rua Agricultor João Bezerra de Oliveira,Imbiribeira,51170270,-8.0953386,-34.9116811,Imobiliária,3,1,69,69,0,2000,,2017-04-09 23:25:44.142715,,,,,,,
Apartamento com piscina e playground em Boa Viagem,1003680,Residencial,,Boa Viagem,,,,Imobiliária,4,2,128,128,2,2000,,2017-04-09 23:34:59.136454,,,,,,,
Apartamento com playground e salão de festas em Barro,270000,Residencial,Avenida Doutor José Rufino,Barro,50900660,-8.0929369,-34.9411393,Imobiliária,3,1,70,70,1,2000,,2017-04-09 23:25:44.263637,,,,,,,
Apartamento  em Casa Amarela,380000,Residencial,Rua Bento Loyola,Casa Amarela,52051340,-14.235004,-51.92528,Imobiliária,3,1,71,,1,2000,,2017-04-09 23:25:44.271014,,,,,,,
Apartamento com salão de festas em Boa Viagem,315000,Residencial,Avenida Fernando Simões Barbosa,Boa Viagem,51020390,-26.9225709,-49.0606445,Imobiliária,2,0,60,,1,2000,120,2017-04-09 23:25:44.353823,,,,,,,
Apartamento  em Casa Amarela,439000,Residencial,Rua Professor Souto Maior,Casa Amarela,52051240,,,Imobiliária,3,0,66,66,0,2000,,2017-04-09 23:26:13.326191,,,,,,,
Apartamento com salão de festas em Casa Forte,400000,Residencial,Rua Samuel Farias,Casa Forte,52060430,,,Imobiliária,3,1,79,,1,1980,,2017-04-09 23:26:22.818855,,,,,,,
Apartamento com salão de festas em Aflitos,650000,Residencial,Rua Desembargador Martins Pereira,Aflitos,52050205,-8.0377128,-34.8999689,Imobiliária,3,1,124,,1,1971,,2017-04-09 23:26:22.949887,,,,,,,
Apartamento com piscina e churrasqueira em Caxanga,310000,Residencial,Rua Dona Inês Correia de Araújo,Caxanga,50800220,-8.0357706,-34.9437716,Imobiliária,3,1,68,68,1,1950,,2017-04-09 23:26:22.962343,,,,,,,
Apartamento com piscina e sauna em Pina,850000,Residencial,Rua Cap Rebelinho,Pina,51011010,-8.0971205,-34.8844228,Pessoa Física,3,1,105,,2,1950,,2017-04-09 23:26:22.999693,,,,,,,
Apartamento com piscina e estacionamento visitantes em Boa Viagem,300000,Residencial,Rua Alfredo de Medeiros,Boa Viagem,52021030,-8.0415134,-34.8904822,Imobiliária,2,0,46,46,1,1950,,2017-04-09 23:26:25.007614,,,,,,,
Apartamento  em Varzea,100000,Residencial,Rua Diogo de Vasconcelos,Varzea,50980410,-8.0402222,-34.9632912,Imobiliária,2,0,54,54,1,1920,,2017-04-09 23:41:52.641177,,,,,,,
Apartamento com salão de festas em Boa Viagem,560000,Residencial,Avenida Boa Viagem,Boa Viagem,51020000,-8.1148493,-34.8919404,Imobiliária,3,1,123,123,1,1900,,2017-04-09 23:26:23.028534,,,,,,,
Apartamento com piscina e frente para o mar em Boa Viagem,370000,Residencial,Rua João Dias Martins,Boa Viagem,51021540,-8.1310126,-34.9055959,Pessoa Física,2,1,48,,1,1900,,2017-04-09 23:26:23.124788,,,,,,,
Apartamento com piscina e salão de festas em Boa Viagem,620000,Residencial,Rua Bruno Veloso,Boa Viagem,51021280,-26.9225709,-49.0606445,Imobiliária,3,1,91,,2,1900,,2017-04-09 23:26:23.303425,,,,,,,
Apartamento  em Boa Vista,260000,Residencial,Avenida Manoel Borba,Boa Vista,50070000,-8.0603387,-34.8884882,Imobiliária,2,0,65,65,0,1900,,2017-04-09 23:26:23.603264,,,,,,,
Apartamento com piscina e churrasqueira em Espinheiro,455000,Residencial,Rua Alfredo de Carvalho,Espinheiro,52021040,-8.0409571,-34.8899011,Imobiliária,3,1,77,,2,1900,,2017-04-09 23:26:23.737257,,,,,,,
Apartamento com piscina e churrasqueira em Casa Amarela,290000,Residencial,,Casa Amarela,52000000,-22.5221873,-55.7392303,Imobiliária,2,0,52,,1,1900,,2017-04-09 23:26:23.907341,,,,,,,
Apartamento com salão de festas em Aflitos,300000,Residencial,Avenida Conselheiro Rosa e Silva,Aflitos,52050020,-8.042612,-34.8978175,Imobiliária,2,0,85,,1,1900,,2017-04-09 23:26:23.957313,,,,,,,
Apartamento  em Gracas,420000,Residencial,Rua Antônio Novais,Gracas,52050280,-8.0429459,-34.9009446,Imobiliária,3,1,82,82,1,1900,,2017-04-09 23:26:24.053640,,,,,,,
Apartamento com sala de ginástica e salão de festas em Parnamirim,460000,Residencial,Rua Guedes Pereira,Parnamirim,52060150,-8.0304034,-34.9083045,Imobiliária,2,1,89,,1,1850,,2017-04-09 23:26:25.026115,,,,,,,
Apartamento  em Madalena,570000,Residencial,Rua Januário Barbosa,Madalena,50610060,-8.0505336,-34.9069652,Imobiliária,3,1,86,86,2,1814,,2017-04-09 23:26:24.064079,,,,,,,
Apartamento com salão de festas em Espinheiro,630000,Residencial,Rua Conselheiro Portela,Espinheiro,52020030,-8.0427306,-34.8954047,Imobiliária,3,1,107,,1,1814,,2017-04-09 23:26:24.153432,,,,,,,
Apartamento com piscina e sala de ginástica em Boa Viagem,380000,Residencial,Rua Desem Joao Paes,Boa Viagem,51021360,-8.1259666,-34.9045394,Imobiliária,2,1,59,,1,1800,,2017-04-09 23:26:24.403571,,,,,,,
Apartamento com salão de festas e vestiário em Boa Viagem,800000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.1395492,-34.9030392,Imobiliária,3,3,163,163,2,1800,,2017-04-09 23:26:24.426218,,,,,,,
Apartamento com piscina e campo de futebol em Boa Viagem,900000,Residencial,Rua Aviador Severiano Lins,Boa Viagem,51020060,-8.1107637,-34.8933038,Pessoa Física,4,4,137,,2,1800,,2017-04-09 23:26:24.526400,,,,,,,
Apartamento com salão de festas em Parnamirim,830000,Residencial,Rua Afonso Celso,Parnamirim,52060110,-8.0322404,-34.9068929,Imobiliária,4,2,186,,2,1800,,2017-04-09 23:26:24.628110,,,,,,,
Casa  em Iputinga,385000,Residencial,Rua Monsenhor Fabrício,Iputinga,50680010,-8.0475622,-34.8769643,Imobiliária,3,1,200,200,2,1800,,2017-04-09 23:26:24.669680,,,,,,,
Apartamento com piscina e campo de futebol em Casa Amarela,290000,Residencial,Rua Paula Batista,Casa Amarela,52070070,-8.0251064,-34.9150338,Imobiliária,2,1,50,50,1,1800,,2017-04-09 23:26:24.713670,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,699000,Residencial,Rua João Cardoso Aires,Boa Viagem,51130300,-8.1427332,-34.9077245,Imobiliária,4,3,125,125,3,1800,,2017-04-09 23:26:24.752585,,,,,,,
Apartamento com piscina e playground em Varzea,180000,Residencial,Rua Torres Homem,Varzea,50810040,-8.0384778,-34.9541294,Imobiliária,3,1,60,60,1,1800,,2017-04-09 23:26:25.188225,,,,,,,
