Titulo,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Area Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com salão de festas em Campo Grande,330000,Residencial,Rua Oliveira Fonseca,Campo Grande,52040250,-8.0278532,-34.879626,Imobiliária,3,1,75,105,1,450,,2017-04-08 22:44:04.999818,0,0,0,0,0,22.418923707146547,0
Apartamento com copa em Aflitos,450000,Residencial,Do Futuro,Aflitos,52050010,-8.0399303,-34.9007042,Imobiliária,2,1,88,88,1,650,,2017-04-08 22:44:05.013030,2.751742237649582,0.39584910964337255,0.8811520719889431,2.4832202983398743,4.958711270160007,24.408729949825446,1.3425855997958553
Apartamento com piscina e salão de festas em Boa Viagem,360000,Residencial,Avenida Helio Falcao,Boa Viagem,51021070,,,Imobiliária,2,1,54,,2,430,800,2017-04-08 22:44:05.127927,0,0,0,0,0,0,0
Apartamento com sauna e copa em Boa Viagem,492562,Residencial,Rua Maria Carolina,Boa Viagem,51020220,-8.11312,-34.899206,Imobiliária,1,1,53,53,1,450,,2017-04-08 22:44:05.721949,0.47063112591904294,0.4513557869877093,0.4088759938069368,0.7305757228830759,1.0469371992911913,17.897058147955086,0
Apartamento com piscina e churrasqueira em Boa Viagem,799000,Residencial,Rua Mario Souto Maior,Boa Viagem,51030310,-8.1407909,-34.9069836,Imobiliária,4,2,128,,2,,,2017-04-08 22:44:06.282542,0.5461341127355612,1.8696916001679562,0,0,1.9047123167947808,16.15591088881567,0.6361380124933798
Apartamento com playground em Cordeiro,300000,Residencial,Rua Visconde de Itaboraí,Cordeiro,50721370,-8.049266,-34.9297704,Pessoa Física,2,1,97,,1,510,850,2017-04-09 23:25:23.295493,0.7594036145341831,1.0953573045748553,0,0,1.3749900635457464,25.812714730513118,1.0793331959399386
Apartamento  em Areias,140000,Residencial,Rua Barros Sobrinho,Areias,50781290,-8.0870408,-34.9330803,Pessoa Física,2,0,58,,1,278,,2017-04-09 23:25:23.359578,0,0.033380753459857145,0,0,0.6280026547384803,24.141564380683956,0.11295786973408235
Apartamento  em Boa Viagem,250000,Residencial,Rua Joao Cardoso Aires,Boa Viagem,51130300,-8.1404819489,-34.9126281738,Imobiliária,3,1,101,,1,350,,2017-04-09 23:25:23.365898,0.7691032374704272,0.044481346193819035,0,0,3.3690752980280414,17.62075763828837,0.7953157901759448
Apartamento com piscina e churrasqueira em Madalena,320000,Residencial,Rua Dr. João Coimbra,Madalena,50000000,,,Pessoa Física,3,1,64,64,1,600,,2017-04-09 23:25:24.222252,0,0,0,0,0,0,0
Apartamento com piscina e churrasqueira em Casa Amarela,600000,Residencial,"Estrada Arraial,Do",Casa Amarela,52051380,-8.0267907,-34.914241,Imobiliária,4,3,125,,3,,,2017-04-09 23:25:24.302214,0.22705785567876569,1.2284682085631002,1.386952636388502,2.846235380304539,4.483039019786847,40.68286470968661,0.06134364530326297
Flat com piscina em Boa Viagem,225000,Comercial,Não Informado,Boa Viagem,,,,Imobiliária,1,1,47,47,1,,,2017-04-09 23:25:24.309490,0,0,0,0,0,0,0
Conjunto Comercial/Sala  em Madalena,185000,Comercial,Rua Professora Anunciada da Rocha Melo,Madalena,50710390,-8.04877,-34.9084215,Imobiliária,0,0,29,29,1,450,,2017-04-09 23:25:24.316891,2.477935000586517,1.0055791186877558,0.45669091890994024,2.8972910979193367,7.081031885510666,24.624845589914283,0.9856175981152595
Apartamento com piscina e churrasqueira em Campo Grande,380000,Residencial,Estrada de Belem - Encruzilhada,Campo Grande,52031000,-8.0349361,-34.8872096,Pessoa Física,3,1,62,70,1,400,,2017-04-09 23:25:24.355373,0.23971878561532356,0,2.7453167062899935,2.1310685944953134,1.254330673376347,28.359858086090185,0.5600660223505529
Apartamento com piscina e churrasqueira em Madalena,950000,Residencial,Rua Arlindo Gouveia,Madalena,50720595,-8.0559955,-34.9035913,Imobiliária,4,2,145,220,2,730,180,2017-04-09 23:25:24.361875,4.57315531553856,0.9860986528953336,1.0666221320525806,3.9383816958940243,9.544753096750538,37.62729260879962,1.0300101825935801
Casa  em Engenho do Meio,320000,Residencial,Rua Lindolfo Color,Engenho do Meio,50730600,-8.052859283,-34.9396805677,Pessoa Física,4,1,110,,1,40,,2017-04-09 23:25:24.467895,0,0,1.173940150417271,0.1080840507647497,0.38472942675155525,22.32854777158783,0
Apartamento  em Boa Viagem,1200000,Residencial,Rua Setubal,Boa Viagem,51130010,-8.1428239,-34.9049773,Imobiliária,4,1,200,347,2,1600,,2017-04-09 23:25:24.981470,0.24983507931433313,2.3078675958187858,0,0,0.7842094156931628,11.662756933282857,0.49720235606036156
Apartamento com piscina e sauna em Encruzilhada,300000,Residencial,Estrada de Belém,Encruzilhada,52030000,,,Pessoa Física,3,2,60,,1,420,,2017-04-09 23:25:25.000666,0,0,0,0,0,0,0
Apartamento com churrasqueira em Boa Viagem,320000,Residencial,Rua Padre Bernardino Pessoa,Boa Viagem,51020210,-8.1136277,-34.8955104,Pessoa Física,2,0,47,47,1,746,119,2017-04-09 23:25:25.166839,0.4438966334139403,0.8095121709504326,0.6944002910800575,1.4778005420509066,1.4764322792170526,17.51616224639575,0
Galpão/Depósito/Armazém com copa e estacionamento visitantes em Areias,2100000,Comercial,Rua Figueira de Melo,Areias,50781110,-8.0864613,-34.9319743,Pessoa Física,7,0,1100,1100,20,1,,2017-04-09 23:25:25.194398,0,0,0,0,0.5968960503582287,23.018150029288996,0.2139621873045419
Apartamento  em Boa Viagem,250000,Residencial,Rua Feliciano José de Farias,Boa Viagem,51030450,-8.132618,-34.9047656,Pessoa Física,2,1,80,80,1,500,,2017-04-09 23:25:25.404684,1.3325760455177196,2.191082712599812,1.201766302078609,0.03226882714539136,4.766483140965956,29.514758132712004,2.9058276797356664
Apartamento com piscina e copa em Boa Viagem,380000,Residencial,Rua Desem Joao Paes,Boa Viagem,51021360,-8.1259666,-34.9045394,Pessoa Física,3,1,91,,1,520,1400,2017-04-09 23:25:25.436808,1.289703855871807,2.677958856411571,0.6317530540554042,0.6109460676959682,6.79344049615788,28.849335580853552,2.234244596213455
Apartamento  em Boa Viagem,550000,Residencial,Rua Padre Bernardino Pessoa,Boa Viagem,51020210,-8.1117077,-34.8979366,Imobiliária,3,1,90,90,2,550,,2017-04-09 23:25:25.531025,0.3228499280007836,0.5133003322758001,0.3902098094206118,1.0510628525110037,1.2319968738252052,13.48930576907296,0
Apartamento com churrasqueira e frente para o mar em Piedade,750000,Residencial,Avenida Bernardo Vieira de Melo,Piedade,54420010,-8.183698,-34.9313665,Imobiliária,4,2,236,306,2,,1000,2017-04-09 23:25:25.760880,0,0,0,0,0,0,0
