Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Condomínio,IPTU,Data Coleta,Educação,Entretenimento,Financeiro,Saúde,Alimentação,Transporte,Others
Apartamento com piscina e sauna em Aflitos,2500000,Residencial,Rua Capitão Sampaio Xavier,Aflitos,52050217,-8.0367433,-34.8998791,Imobiliária,3,3,160,,4,1500,,2017-04-09 23:30:28.386395,3.5133703058204713,0.7057395163776246,1.1060959762690994,4.5360595334550355,4.957570899612637,26.301295132219185,
Apartamento com piscina e sauna em Tamarineira,2500000,Residencial,"Estrada Arraial,Do",Tamarineira,52051380,-8.0315668,-34.9048631,Imobiliária,4,1,150,,4,1500,,2017-04-09 23:30:28.397542,1.6324992228981152,0.50507268455171,0.11483197451334229,3.817860138164894,2.5504957788187617,27.91155378421974,
Apartamento com piscina e sauna em Casa Amarela,2500000,Residencial,Rua Oscar Pinto,Casa Amarela,52051350,-8.0253514,-34.9119857,Imobiliária,3,1,95,95,4,1500,,2017-04-09 23:30:28.527451,0.6405904474018753,1.3559116498985113,0.8331771858362462,3.3359905181432676,3.7499801649293403,37.889317355806774,
Apartamento com piscina e churrasqueira em Casa Forte,2500000,Residencial,Rua Marechal Rondon,Casa Forte,52061050,-8.0299011,-34.9219342,Imobiliária,2,1,65,65,4,1500,,2017-04-09 23:34:05.309374,0.23998367584243818,0.047127412063927634,0.7234761410058316,0.5800194597685995,0.4469196320698542,30.114903842179146,
Apartamento com playground em Campo Grande,2500000,Residencial,Rua Marquês de Abrantes,Campo Grande,52040010,-8.0307447,-34.8813719,Imobiliária,3,1,90,90,4,1500,,2017-04-09 23:30:28.565857,0,0,0,0,0,26.836882990073352,
Apartamento com piscina e churrasqueira em Torreao,2500000,Residencial,Rua Dom João Costa,Torreao,52030220,-8.0387497,-34.8831128,Imobiliária,3,1,104,104,4,1500,,2017-04-09 23:33:54.714973,0,0,0.5857213866431369,0.3295788883982296,0.5408826818657808,23.074289773492424,
Apartamento com piscina e sauna em Boa Viagem,2500000,Residencial,Avenida Visconde de Jequitinhonha,Boa Viagem,51130020,-8.143744,-34.9064871,Imobiliária,3,1,104,104,4,1500,,2017-04-09 23:33:55.559421,0.2223943160697514,1.641594542870517,0,0,1.0787382859727088,12.431648102107575,
Apartamento  em Casa Forte,2500000,Residencial,Rua Doutor João Santos Filho,Casa Forte,52060615,-8.0364155,-34.9119477,Imobiliária,4,4,200,200,4,1500,,2017-04-09 23:33:58.562281,0.42702697689995545,0.32976737180381915,0.852139765195147,0.9587237889116531,4.249322805582794,23.93247292531274,
Apartamento com piscina e churrasqueira em Madalena,2500000,Residencial,Rua Manoel Bernardes,Madalena,50710350,-8.0493094,-34.9111582,Imobiliária,3,1,79,79,4,1500,,2017-04-09 23:33:55.898638,1.7815998275719838,0.8313264037687933,0.3444364756545291,2.0621176157024044,5.223474947118753,23.04420359832795,
Apartamento com piscina e churrasqueira em Boa Vista,2500000,Residencial,Rua Capitão Rui Lucena,Boa Vista,50070080,-8.0568712,-34.8934714,Imobiliária,1,0,39,39,4,1500,,2017-04-09 23:33:56.093273,2.0506654383711154,0.5601347361587043,0.7649366342485648,1.9750285110528902,2.5620228321074965,40.300426201916,
Apartamento  em Setubal,2500000,Residencial,Rua Professor Augusto Lins e Silva,Setubal,51030030,-8.136401,-34.9043916,Imobiliária,3,1,143,143,4,1500,,2017-04-09 23:33:56.639737,0.7951951847729467,2.626319715318806,0.6922233683975996,0,1.4669949519508179,22.96179179376604,
Apartamento com piscina em Casa Amarela,2500000,Residencial,Rua Raimundo Freixeiras,Casa Amarela,52070020,-8.0286233,-34.919631,Imobiliária,2,1,50,50,4,1500,,2017-04-09 23:33:57.051724,0.013088603932893876,0.43607903434913187,1.3016821702937094,1.0724563640661868,1.903742823493793,37.36114112939524,
Apartamento  em Varzea,2500000,Residencial,Rua Emiliano Braga,Varzea,50670380,-8.0366017,-34.9486278,Imobiliária,3,1,78,78,4,1500,,2017-04-09 23:33:57.279399,1.3610753280411976,0,0.14864896580995252,0.5184962662861244,2.9689571504231482,25.948470896986457,
Apartamento com piscina e salão de festas em Boa Viagem,2500000,Residencial,Rua Mamanguape,Boa Viagem,51020250,-8.1149754,-34.899124,Imobiliária,1,1,30,30,4,1500,,2017-04-09 23:33:57.691563,0.6724556608265703,0.5549208406327626,0.512627176246206,0.6850646370854039,0.9767199224715041,23.042199662650933,
Apartamento com piscina e churrasqueira em Torreao,2500000,Residencial,Rua Cândido Lacerda,Torreao,52030200,-8.0408652,-34.8841463,Imobiliária,2,1,55,55,4,1500,,2017-04-09 23:33:57.886040,0.05787132332805311,0,0.8536847483443752,0.4216182910735343,0.81456737343063,22.152280426809526,
Apartamento com copa e playground em Boa Viagem,2500000,Residencial,Rua Jorge Couceiro da Costa Eiras,Boa Viagem,51021300,-8.1221009,-34.9054206,Imobiliária,3,1,70,85,4,1500,,2017-04-09 23:33:57.950104,0.7610389128223163,2.0452193879606306,0,0.46901560453328034,2.908902589561667,22.671587938196364,
Apartamento  em Rosarinho,2500000,Residencial,Rua Doutor José Maria,Rosarinho,52041065,-8.0351268,-34.899407,Imobiliária,3,1,101,101,4,1500,,2017-04-09 23:33:58.507444,3.213433111375276,0.7897663247187371,0.9971305844861518,4.982987966075796,4.701231106229963,27.663945557402783,
Apartamento  em Casa Forte,2500000,Residencial,"Estrada Ubaias,Das",Casa Forte,52061080,-8.0321152,-34.9194541,Imobiliária,3,1,93,,4,1500,,2017-04-09 23:45:00.978827,0,0.3000124069817397,0.8931875094118146,0.7939492547887852,2.870986788060329,29.903719039505138,
Apartamento com piscina e sauna em Boa Viagem,2499999,Residencial,Rua Felix de Brito Melo,Boa Viagem,51020260,-8.1185717,-34.8941187,Imobiliária,1,1,35,35,4,1500,,2017-04-09 23:33:58.584185,0.5321121856198497,0.5119562516204043,0.7366331809573774,0.8060368457827379,0.6001465012123435,21.012991984793526,
Apartamento com copa em Casa Forte,2497368,Residencial,Estrada das Ubáias,Casa Forte,52061080,-8.032059,-34.9192757,Imobiliária,4,2,242,324,4,1500,,2017-04-09 23:33:58.647052,0,0.3206108950812511,0.9341104385855348,0.811347814568165,3.008552052587724,30.322988627977313,
Apartamento com campo de futebol e esquina em Boa Viagem,2490000,Residencial,Rua Dom José Lopes,Boa Viagem,51021370,-8.126733,-34.9050888,Imobiliária,3,1,85,,4,1500,,2017-04-09 23:33:58.656391,1.4740691310701344,2.5912620835925537,0.7026513288873963,0.5188513011660232,6.897022984052108,27.88352690249864,
Apartamento com piscina e salão de festas em Boa Viagem,2480000,Residencial,Rua Antônio Passos,Boa Viagem,51030040,-8.135345,-34.9048579,Imobiliária,3,1,88,88,4,1500,,2017-04-09 23:33:59.104766,0.9993652943899104,2.3397771175692603,0.8235996097991349,0,2.053120501327731,25.058847723322646,
Apartamento  em Boa Viagem,2450000,Residencial,Rua Ministro Nelson Hungria,Boa Viagem,51020100,-8.0475622,-34.8769643,Imobiliária,3,2,120,120,4,1500,,2017-04-09 23:33:59.232401,0,0,0,0.3219507517659647,0,23.29615929254956,
Apartamento com frente para o mar e copa em Boa Viagem,2450000,Residencial,Avenida Boa Viagem,Boa Viagem,51020000,-8.1134595871,-34.8909454346,Imobiliária,4,4,457,457,4,1500,,2017-04-09 23:33:59.242528,0.05716651385867692,0.6831011020254832,0.45971424059938315,1.3887233046240581,0.8549494423607956,11.319587027626927,
Apartamento com piscina e churrasqueira em Boa Viagem,2400000,Residencial,Avenida Hélio Falcão,Boa Viagem,51021070,-8.1243813,-34.9026207,Imobiliária,1,1,53,53,4,1500,,2017-04-09 23:33:59.334708,0.8776564007792511,2.6908380676496955,0.44570270649259713,0.8522342559611468,5.798981889826415,31.358632922843473,
Apartamento com piscina e churrasqueira em Boa Vista,2400000,Residencial,Rua João Fernandes Vieira,Boa Vista,50050200,-8.0521006,-34.8928866,Imobiliária,3,1,69,69,4,1500,,2017-04-09 23:33:59.548491,1.6161884337669958,1.024450023948365,0,1.7938328835403863,3.9414974684861233,37.946669710851786,
Apartamento com piscina e playground em Poco da Panela,2400000,Residencial,Rua Engenheiro Jair Furtado Meirelles,Poco da Panela,52061360,-8.0391822,-34.9218155,Imobiliária,3,2,108,,4,1500,,2017-04-09 23:33:59.789472,0,0,0,0,1.4369589696839986,12.977958160676215,
Apartamento  em Boa Viagem,2400000,Residencial,Rua Setúbal,Boa Viagem,51030010,-8.1298171,-34.9148236,Imobiliária,4,2,143,,4,1500,,2017-04-09 23:33:59.930301,0.23463650174322617,0.15690822824910935,0,0,0.8409258253976494,12.998175013455112,
Apartamento  em Imbiribeira,2400000,Residencial,Rua Arquiteto Luiz Nunes,Imbiribeira,51170430,-8.0844546,-34.9091947,Imobiliária,2,0,47,47,4,1500,,2017-04-09 23:33:59.989664,0.14170338312292619,0,0.20680246272499608,0.8611344375755202,0.4787448538026365,14.59479921700689,
Apartamento com piscina e playground em Boa Viagem,2350000,Residencial,Rua Dona Magina Pontual,Boa Viagem,51021510,-8.1295477,-34.9045186,Imobiliária,3,1,95,,4,1500,1500,2017-04-09 23:34:00.547977,1.4872071608508242,2.6713501468319185,1.2101906281033612,0.34576230406792374,7.215165586092391,31.418896275853314,
Apartamento  em Gracas,2350000,Residencial,Rua Guilherme Pinto,Gracas,52011210,-8.0513299,-34.9021475,Imobiliária,2,0,80,80,4,1500,,2017-04-09 23:34:00.555115,3.938553374938708,1.184272690495088,0.42718335193243806,4.235047602408286,8.08679043057679,33.430616361353344,
Apartamento  em Jaqueira,2350000,Residencial,,Jaqueira,,-8.0475622,-34.8769643,Imobiliária,4,3,140,,4,1500,,2017-04-09 23:34:00.572181,0,0,0,0.3219507517659647,0,23.29615929254956,
Apartamento  em Boa Viagem,2330000,Residencial,Avenida Conselheiro Aguiar,Boa Viagem,51021970,-8.1109909,-34.8914982,Imobiliária,3,1,137,,4,1500,,2017-04-09 23:34:00.638590,0,0.6396401803856592,0.3000040928773485,1.7757436781110552,1.1357191296432685,11.026331499541143,
